,iterations per agent,number of agents,random seed,average utility of best design,smax,smin,number of created designs
320,15,100,2,0.5543152357933996,0.861569038614596,0.1653860316487824,361
321,17,100,2,0.5774005497425398,0.861569038614596,0.1653860316487824,393
322,19,100,2,0.5915149696262693,0.861569038614596,0.1653860316487824,423
323,21,100,2,0.6043125327045852,0.861569038614596,0.1653860316487824,450
324,23,100,2,0.6312550364369476,0.861569038614596,0.1653860316487824,485
325,25,100,2,0.6398362786927239,0.861569038614596,0.1653860316487824,514
326,27,100,2,0.653220052886072,0.861569038614596,0.1653860316487824,554
327,29,100,2,0.657686649636478,0.861569038614596,0.1653860316487824,591
328,31,100,2,0.6611442805129929,0.861569038614596,0.1653860316487824,625
329,33,100,2,0.6652673651517866,0.861569038614596,0.1653860316487824,653
330,35,100,2,0.6680285676152588,0.861569038614596,0.1653860316487824,681
331,37,100,2,0.6681803991786974,0.861569038614596,0.1653860316487824,713
332,39,100,2,0.6681803991786974,0.861569038614596,0.1653860316487824,736
333,41,100,2,0.6699825727527131,0.861569038614596,0.1653860316487824,767
334,43,100,2,0.6701226969508763,0.861569038614596,0.1653860316487824,791
335,45,100,2,0.6703113719447734,0.861569038614596,0.1653860316487824,816
336,47,100,2,0.6709364324078407,0.861569038614596,0.1653860316487824,839
337,49,100,2,0.6709364324078407,0.861569038614596,0.1653860316487824,860
338,0,100,3,0.1624804447742816,0.8394749187937858,0.1624804447742816,1
339,1,100,3,0.2173721221931346,0.8394749187937858,0.1624804447742816,47
340,3,100,3,0.2725921190403956,0.8394749187937858,0.1624804447742816,110
341,5,100,3,0.3045175998944069,0.8394749187937858,0.1624804447742816,159
342,7,100,3,0.3819085745609086,0.8394749187937858,0.1624804447742816,216
343,9,100,3,0.4239825057817588,0.8394749187937858,0.1624804447742816,258
344,11,100,3,0.4672566857802211,0.8394749187937858,0.1624804447742816,302
345,13,100,3,0.5275726342911944,0.8394749187937858,0.1624804447742816,342
346,15,100,3,0.560761837963297,0.8394749187937858,0.1624804447742816,381
347,17,100,3,0.592935497760982,0.8394749187937858,0.1624804447742816,419
348,19,100,3,0.6316402088107119,0.8394749187937858,0.1624804447742816,457
349,21,100,3,0.6381757399565685,0.8394749187937858,0.1624804447742816,494
350,23,100,3,0.6597622048191168,0.8394749187937858,0.1624804447742816,527
351,25,100,3,0.6726770363488696,0.8394749187937858,0.1624804447742816,557
352,27,100,3,0.6843229004890518,0.8394749187937858,0.1624804447742816,589
353,29,100,3,0.6949946572876486,0.8394749187937858,0.1624804447742816,618
354,31,100,3,0.7052029566617317,0.8394749187937858,0.1624804447742816,643
355,33,100,3,0.714095800138012,0.8394749187937858,0.1624804447742816,664
356,35,100,3,0.7249428575394582,0.8394749187937858,0.1624804447742816,689
357,37,100,3,0.7251551156798045,0.8394749187937858,0.1624804447742816,715
358,39,100,3,0.7308449845438887,0.8394749187937858,0.1624804447742816,736
359,41,100,3,0.7372042751692888,0.8394749187937858,0.1624804447742816,758
