number of agents,random seed,average utility of best design,average utility of voted design,smax,smin,number of created designs,utility param,number of same designs,diversity param,median
14,20,0.0602849827800907,0.0602849827800907,0.7725797422636297,0.04908644092728266,18,30,1,0.5,0.05340811586961
20,20,0.06365457797350035,0.06365457797350035,0.768250701126971,0.055763496936633294,15,30,2,0.5,0.058392474119568175
29,20,0.09028563859262785,0.09028563859262785,0.7619838807172851,0.07214758908416717,21,30,9,0.5,0.07818776136251056
42,20,0.08721046323747549,0.08721046323747549,0.76251932503346,0.05741907673199932,39,30,18,0.5,0.06820090878280304
61,20,0.12111646234104219,0.11679609311000365,0.7818285387010107,0.06927642857830422,48,30,30,0.5,0.08433785504157808
88,20,0.1364685724164173,0.1364685724164173,0.7849987958333942,0.07049667388420104,58,30,51,0.5,0.0953864793269382
127,20,0.16237188386198623,0.16237188386198623,0.7819833228363546,0.06376771530972526,93,30,97,0.5,0.09974220201559189
183,20,0.169149292270333,0.169149292270333,0.7787540646992884,0.06681513278003831,134,30,176,0.5,0.10671147442679053
263,20,0.2644108448911036,0.2644108448911036,0.7932361634173745,0.06412314954894233,175,30,270,0.5,0.14268159270127279
379,20,0.22577167021156136,0.22577167021156136,0.7803383418744526,0.07144549251168254,217,30,421,0.5,0.1408206926362402
545,20,0.29645585135947916,0.27878960573378664,0.7851957012043477,0.07223716566478687,297,30,674,0.5,0.15839838243213902
784,20,0.30827802091202,0.30827802091202,0.7812135324318641,0.0718067907336594,420,30,1064,0.5,0.20293986260213243
1128,20,0.2726943259311126,0.26795934493321205,0.7803366818414119,0.07288910679817755,490,30,1718,0.5,0.19245499883831962
1623,20,0.6245787986908636,0.6245787986908636,0.7799178242678009,0.07479072439428476,717,30,2610,0.5,0.36459708788691336
2335,20,0.6772473794952377,0.6642586095659123,0.7817806058674713,0.07578346033844302,885,30,4103,0.5,0.3483771877890109
3359,20,0.5468037766732533,0.5421111767870034,0.7823242754521371,0.07515135119196716,1228,30,6226,0.5,0.2878013766695525
4832,20,0.7570520487507126,0.7570520487507126,0.7832041403206644,0.07414119170856437,1416,30,9586,0.5,0.5456855216800182
6951,20,0.6031721599453771,0.5982923772564772,0.7827887169035247,0.07456151654611236,1897,30,14546,0.5,0.44227904028837917
10000,20,0.7832520743044162,0.7825574318773921,0.7832520743044162,0.07515898785725479,1489,30,22591,0.5,0.5929334957442882
